태그,질문,기술 분야,기술 키워드,세부 기술 키워드
,JVM 기반 언어의 특징에 대해 설명해 주실 수 있나요?,BE,java,
,Java 8에서 새로 도입된 Date와 Time API에 대해 설명해 주실 수 있나요?,BE,java,
,Overloading과 Overriding의 차이점을 설명해주세요.,"BE, FE",Basic,
,String을 == 대신 equals() 메소드로 비교해야 하는 이유를 설명해주세요.,BE,java,
,JUnit 4와 JUnit 5의 주요 차이점을 설명해주세요.,BE,testing,JUnit
Kotlin,Kotlin과 Java의 주요 차이점과 Kotlin의 장점에 대해 설명해주세요.,BE,Kotlin,
Kotlin,Kotlin의 coroutine이 무엇인지 설명해주세요.,BE,Kotlin,
,ES6와 ES5의 주요 차이점을 설명해주세요.,BE,ECMAScript,
,const 키워드가 무엇인지 설명해주세요.,FE,JavaScript,
,function()과 arrow function의 차이점과 각각을 사용하는 기준에 대해 설명해주세요.,FE,JavaScript,
,"PK(Primary Key), FK(Foreign Key), ER(Entity-Relationship) 모델이 무엇인지 각각 설명해주세요.",BE,DB,
,참조 무결성(Referential Integrity)이 무엇인지 설명해주세요.,BE,DB,
,RDBMS(Relational Database Management System)가 무엇인지 설명해주세요.,BE,DB,
,DB에서의 commit과 rollback이 무엇인지 각각 설명해주세요.,BE,DB,
,DBMS(DataBase Management System)가 무엇인지 설명해주세요.,BE,DB,
,DB 정규화(Database Normalization)가 무엇인지 설명해주세요.,BE,DB,
,DB 정규화(Database Normalization)의 목적이 무엇인지 설명해주세요.,BE,DB,
,데이터베이스 정규화(Database Normalization)에 대해 설명해주세요.,BE,DB,
,Inner 조인(Inner Join)과 Outer 조인(Outer Join)의 차이점을 설명해주세요.,BE,DB,
,PLSQL(Procedural Language/Structured Query Language)이 무엇인지 설명해주세요.,BE,DB,
,OOP(Object-Oriented Programming)가 무엇인지 설명해주세요.,BE,OOP,
,"추상화(Abstraction), 캡슐화(Encapsulation), 상속성(Inheritance), 다형성(Polymorphism)에 대해 각각 설명해주세요.",BE,OOP,
,추상클래스(abstract class)와 인터페이스(interface)의 차이점을 설명해주세요.,BE,OOP,
,오버로딩(Overloading)이 무엇인지 설명해주세요.,BE,OOP,
,오버라이딩(Overriding)이 무엇인지 설명해주세요.,BE,OOP,
,오버로딩(Overloading)과 오버라이딩(Overriding)의 차이점을 설명해주세요.,BE,OOP,
,Array List(ArrayList)가 무엇인지 설명해주세요.,BE,Data Structure,
,Linked List(Linked List)가 무엇인지 설명해주세요.,BE,Data Structure,
,ArrayList와 링크드 리스트Linked List의 차이점을 설명해주세요.,BE,Data Structure,
,"String, StringBuffer, StringBuilder의 특징을 각각 설명해주세요.",BE,java,
,GC(Garbage Collection)가 무엇인지 설명해주세요.,BE,java,
,primitive type(원시 타입)과 reference type(참조 타입)에 대해 설명해주세요.,BE,java,
,DI(Dependency Injection)가 무엇인지 설명해주세요.,BE,java,
,JSON(JavaScript Object Notation)이 무엇인지 설명해주세요.,"BE, FE",Basic,
,XML(eXtensible Markup Language)이 무엇인지 설명해주세요.,"BE, FE",Basic,
,RDBMS(Relational Database Management System)가 무엇인지 설명해주세요.,BE,DB,
,MVC(Model-View-Controller) 패턴이 무엇인지 설명해주세요.,"BE, FE",Design Pattern,
,싱글톤 패턴(Singleton Pattern)이 무엇인지 설명해주세요.,"BE, FE",Design Pattern,
,팩토리 패턴(Factory Pattern)이 무엇인지 설명해주세요.,"BE, FE",Design Pattern,
,HashCode가 무엇인지 설명해주세요.,"BE, FE",Basic,
,Call by Reference와 Call by Value의 차이점을 설명해주세요.,"BE, FE",Basic,
,링크드 리스트(Linked List)와 배열(Array)의 차이점을 설명해주세요.,"BE, FE",Data Structure,
,"DDL(Data Definition Language), DML(Data Manipulation Language), DCL(Data Control Language)에 대해 각각 설명해주세요.",BE,DB,
,자바스크립트(JavaScript)와 제이쿼리(jQuery)의 차이점을 설명해주세요.,FE,Basic,
,SPA(Single Page Application)의 장점과 단점을 설명해주세요.,FE,Basic,
,IoC(Inversion of Control)가 무엇인지 설명해주세요.,BE,Spring,IoC
,"객체지향의 특성인 추상화(Abstraction), 캡슐화(Encapsulation), 상속(Inheritance), 다형성(Polymorphism)에 대해 각각 설명해주세요.",BE,OOP,
,객체지향 프로그래밍(Object-Oriented Programming)이 무엇인지 설명해주세요.,BE,OOP,
,Java에서 Thread를 구현하는 두 가지 방법에 대해 설명해주세요.,BE,java,
,"List, Set, Map의 차이점을 설명해주세요.","BE, FE",Basic,
,Servlet이 무엇인지 설명해주세요.,BE,Spring,
,"MVC(Model-View-Controller) 패턴의 개념과 장점, 그리고 프로젝트에서 MVC 패턴을 어떻게 구성했는지 설명해주세요.","BE, FE",Design Pattern,
,MSA(Microservices Architecture)의 개념에 대해 설명해주세요.,BE,Architecture,MSA
,프레임워크(Framework)와 플랫폼(Platform)의 차이점을 설명해주세요.,"BE, FE",Basic,
,HTML5와 기존 HTML의 차이점을 설명해주세요.,FE,Basic,
,GET 방식과 POST 방식의 차이점을 설명해주세요.,"BE, FE",Basic,
,TCP(Transmission Control Protocol)와 UDP(User Datagram Protocol)의 차이점을 설명해주세요.,"BE, FE",Network,
,DES128과 DES256의 차이점을 설명해주세요.,"BE, FE",security,
,C 언어에서 sizeof(int)의 결과값이 무엇인지 설명해주세요.,"BE, FE",Basic,
,jQuery를 사용하는 이유에 대해 설명해주세요.,"BE, FE",Basic,
,OSI 7계층(Open Systems Interconnection 7 Layers)에 대해 각각 설명해주세요.,"BE, FE",Network,
,MAC 주소(Media Access Control Address)가 OSI 7계층 중 어느 계층에 속하는지 설명해주세요.,"BE, FE",Network,
,HTTP(HyperText Transfer Protocol)가 OSI 7계층 중 어느 계층에 속하는지 설명해주세요.,"BE, FE",Network,
,프리퀀시 도메인(Frequency Domain)이 무엇인지 설명해주세요.,"BE, FE",Network,frequency domain
java,OOP(Object-Oriented Programming)가 무엇인지 설명해주세요.,BE,OOP,
,자바는 100% 객체 지향인가요?,BE,java,
,추상화(Abstraction)가 무엇인지 설명해주세요.,BE,OOP,
,캡슐화(Encapsulation)가 무엇인지 설명해주세요.,BE,OOP,
,추상화(Abstraction)와 캡슐화(Encapsulation)의 차이점을 설명해주세요.,BE,OOP,
,다형성(Polymorphism)이 무엇인지 설명해주세요.,BE,OOP,
,다형성(Polymorphism)의 종류에 대해 설명해주세요.,BE,OOP,
,상속(Inheritance)이 무엇인지 설명해주세요.,BE,OOP,
,Association이 무엇인지 설명해주세요.,BE,OOP,
,Composition이 무엇인지 설명해주세요.,BE,OOP,
,Aggregation은 무엇인가요?,BE,OOP,
,JVM(Java Virtual Machine)이 무엇인지 설명해주세요.,BE,java,
,Java가 플랫폼에 독립적인 언어라고 불리는 이유를 설명해주세요.,BE,java,
,JDK(Java Development Kit)와 JRE(Java Runtime Environment)의 차이점을 설명해주세요.,BE,java,
,정적(static) 키워드가 무엇을 의미하는지 설명해주세요.,BE,java,
,자바에서 private 혹은 static 메소드를 오버라이드(Override)할 수 있는지 설명해주세요.,BE,java,
,non-static 변수를 static context에서 접근할 수 있는지 설명해주세요.,BE,java,
,자바(Java)가 지원하는 데이터 타입(data type)에 무엇이 있는지 설명해주세요.,BE,java,
,non-static 변수를 static context에서 접근할 수 있는지 설명해주세요.,BE,java,
,자바(Java)가 지원하는 데이터 타입(Data Type)에는 무엇이 있는지 설명해주세요.,BE,java,
,자바에서 함수의 오버라이딩(Overriding)과 오버로딩(Overloading)의 차이를 구체적으로 설명해주실 수 있나요?,BE,java,
,Constructor(생성자)가 무엇인지 설명해주실 수 있나요?,BE,java,
,Constructor(생성자) 오버로딩(Overloading)이 무엇인지 설명해주실 수 있나요?,BE,java,
,자바에서 Copy-Constructor(복사 생성자)가 무엇인지 알려주세요.,BE,java,
,자바(Java)가 다중 상속을 지원하는지에 대해 설명해주세요.,BE,java,
,인터페이스(Interface)와 추상 클래스(Abstract Class)의 차이점에 대해 설명해 주세요.,BE,java,
,pass by reference와 pass by value가 무엇인지 자세히 알려주세요.,"BE, FE",Basic,
,Volatile Variable(휘발성 변수)의 목적이 무엇인지 설명해 주세요.,BE,fe,
,지역 변수(Local Variable)와 인스턴스 변수(Instance Variable)가 무엇인지 구체적으로 설명해 주세요.,"BE, FE",Basic,
,Java에서 사용 가능한 접근 제어자(access modifier)들의 차이점에 대해 이야기해주세요.,BE,java,
,정적 바인딩(Static Binding)과 동적 바인딩(Dynamic Binding)의 차이점에 대해 설명해주시겠어요?,BE,java,
,래퍼 클래스(Wrapper Class)가 무엇인지 설명해 주세요.,BE,java,
,"싱글톤 클래스(Singleton Class)가 무엇이며, 어떻게 만드는지 설명해 주세요.","BE, FE",OS,
,프로세스(Process)와 스레드(Thread)의 차이점에 대해 설명해 주세요.,"BE, FE",OS,
,스레드를 생성하는 다양한 방법에 대해 설명해 주세요.,"BE, FE",OS,
,스레드(Thread)의 다양한 상태에 대해 개략적으로 설명해 주세요.,"BE, FE",OS,
,메소드(Method)와 동기화된 블록(Synchronized Block)의 차이점에 대해 설명해 주세요.,"BE, FE",OS,
,모니터(Monitor) 내부에서 스레드(Thread) 동기화가 어떻게 이루어지는지 설명해 주세요.,"BE, FE",OS,
,교착상태(Deadlock)가 무엇인지 자세히 설명해 주세요.,"BE, FE",OS,
,N 스레드가 교착상태 없이 N 자원에 접근할 수 있도록 하기 위한 방법에 대해 설명해 주세요.,"BE, FE",OS,
,wait() 메소드와 sleep() 메소드의 차이에 대해 설명해 주세요.,"BE, FE",OS,
,Java Collection Framework의 기본 인터페이스가 무엇인지 알려주세요.,BE,java,
,"Collection이 Cloneable, Serializable 인터페이스를 extend하지 않는 이유에 대해 설명해 주세요.",BE,java,
,Iterator가 무엇인지 설명해 주세요.,BE,java,
,Iterator와 ListIterator의 차이점에 대해 설명해 주세요.,BE,java,
,fail-fast와 fail-safe의 차이점에 대해 설명해 보세요.,BE,java,
,자바의 HashMap은 어떻게 작동하나요?,BE,java,
,hashCode() 메소드와 equals() 메소드의 중요성에 대해 설명해 주세요.,BE,java,
,HashMap과 Hashtable의 차이점은 무엇인가요?,BE,java,
,Array와 ArrayList의 차이점은 무엇인가요?,BE,java,
,ArrayList와 LinkedList의 차이점은 무엇인가요?,BE,java,
,Comparable과 Comparator의 차이점은 무엇인가요?,BE,java,
,자바에서 우선순위 큐(Priority Queue)가 무엇인지 설명해 주세요.,BE,java,
,HashSet과 TreeSet의 차이점은 무엇인가요?,BE,java,
,Java에서 가비지 콜렉터의 목적은 무엇이며 언제 사용되나요?,BE,java,
,System.gc() 메소드와 Runtime.gc() 메소드의 기능에 대해 설명해 주세요.,"GC, java",java,
,"finalize() 메소드가 언제 호출되는지, 그리고 그 목적이 무엇인지 설명해 주세요.",java,java,
,객체 참조가 null로 설정되면 가비지 콜렉터(Garbage Collector)가 해당 객체가 보유한 메모리를 즉시 해제하는지 설명해 주세요.,"GC, java",java,
,Java 힙의 구조에 대해 설명해 주세요.,java,java,
,직렬(Serial) GC와 처리량(Throughput) GC의 차이점에 대해 설명해 주세요.,"GC, java",java,
,Java에서 객체가 언제 가비지 콜렉션(Garbage Collection)되는지 설명해 주세요.,"GC, java",java,
,JVM의 영구 생성 공간(Permanent Generation 또는 Metaspace)에서 가비지 콜렉션이 발생하는지 말씀해 주세요.,"GC, java",java,
FE,브라우저의 렌더링(Rendering) 원리에 대해 설명해 주세요.,FE,Basic,
,홈페이지가 사용자에게 보이는 순서에 대해 설명해 주세요.,FE,Basic,
,호이스팅(Hoisting)에 대해 설명해 주세요.,FE,JavaScript,
,"클로저(Closure)가 무엇인지, 그 원리와 사용하는 이유에 대해 설명해 주세요.",FE,JavaScript,
,CSS에서 margin과 padding의 차이점과 용도에 대해 설명해 주세요.,FE,CSS,
,비동기적으로 실행되는 작업을 동기적으로 코딩하는 방법이 있는지 설명해 주세요.,"BE, FE",Basic,
,GET 방식과 POST 방식이 어떻게 다르게 사용되는지 설명해 주세요.,"BE, FE",http,
,this의 용법에 대해 알고 있는 대로 설명해 주세요.,FE,Basic,
,"브라우저 저장소의 차이점에 대해 설명해 주세요. (LocalStorage, SessionStorage, Cookie)",FE,Basic,
,"Restful API에 대해 알고 있는 내용을 설명해 주세요. (GET, PUT, POST, PATCH, OPTION, DELETE)","BE, FE",Basic,
,JavaScript가 어떤 언어인지 설명해 주세요.,FE,JavaScript,
,JavaScript는 싱글 스레드 언어이지만 병렬처리가 가능한 이유에 대해 설명해주세요.,FE,JavaScript,
,"JavaScript는 싱글 스레드 언어인가요, 아니면 멀티 스레드 언어인가요?",FE,JavaScript,
,Event Loop가 무엇인지 설명해 주세요.,FE,JavaScript,
,마이크로테스크 큐(Microtask Queue)와 테스크 큐(Task Queue)의 차이점과 역할에 대해 설명해 주세요.,FE,JavaScript,
,이벤트 버블링(Event Bubbling)이 무엇인지 설명해 주세요.,FE,JavaScript,
,"이벤트 버블링이 기본적으로 child에서 parent로 전파되는데, 이를 반대로 구현하는 방법에 대해 설명해 주세요.",FE,JavaScript,
,이벤트 버블링(Event Bubbling)을 막기 위한 방법을 설명해 주세요.,FE,JavaScript,
,이벤트 버블링(Event Bubbling)을 잘 활용하면 어떻게 사용할 수 있는지 예시를 들어 설명해 주세요.,FE,JavaScript,
,실행 문맥(Execution Context)이 무엇인지 설명해 주세요.,FE,JavaScript,
,이터러블(Iterable)과 이터레이터 프로토콜(Iterator Protocol)에 대해 설명해 주세요.,FE,JavaScript,
,제너레이터(Generator)가 무엇인지 설명해 주세요.,FE,JavaScript,
,HTML이 렌더링 중에 JavaScript가 실행되면 렌더링이 멈추는 이유에 대해 설명해 주세요.,FE,JavaScript,
,"프로젝트를 진행할 때 어떤 JavaScript 프레임워크를 선택할 것인지, 그리고 그 이유에 대해 설명해 주세요.",FE,JavaScript,
,"최근에 사용되는 JavaScript 프레임워크들의 차이점과 장단점, 그리고 각각을 언제 어떻게 사용해야 하는지 설명해 주세요.",FE,JavaScript,
,SPA(Single Page Application)와 SSR(Server-Side Rendering)의 차이점에 대해 설명해 주세요.,FE,rendering,
,require와 import의 차이점에 대해 설명해 주세요.,FE,JavaScript,
,"SASS(Syntactically Awesome Stylesheets)와 SCSS(Sassy CSS)를 사용해본 경험이 있는지, 그리고 기존 CSS와 비교했을 때 어떤 점이 더 좋은지 설명해 주세요.",FE,CSS,
,JavaScript 성능 최적화를 위해 어떤 것을 적용해 보았는지 말씀해 주세요.,FE,JavaScript,
,Vue.js와 React의 차이점에 대해 설명해 주세요.,FE,React,
,Vue.js 혹은 React를 사용해 봤다면 상태 관리를 어떻게 구현했는지 설명해 주세요.,FE,React,
,Vue.js와 React의 차이점에 대해 설명해 주세요.,FE,Vue.js,
,Vue.js 혹은 React를 사용해 봤다면 상태 관리를 어떻게 구현했는지 설명해 주세요.,FE,Vue.js,
,Vue.js의 라이프 사이클(Lifecycle)에 대해 간략하게 설명해 주세요.,FE,Vue.js,
,Vue.js에서 양방향 데이터 바인딩이 일어나는 원리에 대해 설명해 주세요.,FE,Vue.js,
,무작위 데이터(Random Data)에 대해 테스트할 때 사용하는 방법을 설명해 주세요.,"BE, FE",testing,
,"ES6에서 Arrow 함수를 언제 사용하고, 왜 사용하는지 설명해 주세요.",FE,JavaScript,
,"JavaScript에서 var, let, const의 차이점에 대해 설명해 주세요.",,Basic,
,CORS(Cross-Origin Resource Sharing)를 대처하는 방법과 우회하는 방법에 대해 설명해 주세요.,"BE, FE",security,CORS
,MVVM(Model-View-ViewModel) 모델이 무엇인지 설명해 주세요.,FE,Architecture,
,CSS의 Box-model에서 width의 값을 차지하는 크기가 어떻게 결정되는지 설명해 주세요.,FE,CS,
algorithm,"이진 트리(Binary Tree)에 대해 설명해 주시고, 그 종류에는 무엇이 있는지 알려주세요. 또한, 실제 적용해본 경험이 있는지 이야기해 주세요.","BE, FE",Data Structure,
,HTTP 0.9와 HTTP 1.0의 차이점에 대해 설명해 주세요.,"BE, FE",http,
Web Browser,브라우저의 동작 원리에 대해 간단하게 설명해 주세요.,FE,Basic,
,"CORS(Cross-Origin Resource Sharing)가 무엇인지 설명하고, 이를 해결할 수 있는 방법에 대해 설명해 주세요.","BE, FE",security,CORS
,크로스 브라우징(Cross-Browsing)이 무엇인지 설명해 주세요.,FE,Cross Browsing,
,서버 사이드 렌더링(Server-Side Rendering)과 클라이언트 사이드 렌더링(Client-Side Rendering)의 차이에 대해 설명해 주세요.,FE,rendering,
,"빈 화면에서 렌더링이 완료되기까지 너무 오래 걸리는 문제를 해결할 수 있는 방법에 대해 설명해 주세요. (단, 캐시는 이미 적용된 상태입니다.)",FE,Basic,검토필요
HTML,"쿠키(Cookie), 세션 스토리지(Session Storage), 로컬 스토리지(Local Storage)의 차이점에 대해 설명해 주세요.",FE,Basic,
,프로그레시브 렌더링(Progressive Rendering)이 무엇인지 설명해 주세요.,FE,Basic,검토필요
,다국어 페이지를 제공하는 방법에 대해 설명해 주세요.,FE,Basic,검토필요
,SEO(Search Engine Optimization)가 무엇인지 설명해 주세요.,FE,SEO,
,<section>과 <article> 태그의 차이에 대해 설명해 주세요.,FE,Basic,
,HTML5에서 도입된 주요 태그들에 대해 설명해 주세요.,FE,Basic,
,시맨틱 태그(Semantic Tag)가 무엇인지 설명해 주세요.,FE,Basic,
CSS,class와 id의 차이점을 설명해 주세요.,FE,CSS,
,CSS에서 float 속성이 어떻게 동작하는지 설명해 주세요.,FE,CSS,
,CSS에서 클리어링(Clearing)을 위한 다양한 방법과 각각을 언제 사용하는지 설명해 주세요.,FE,CSS,
,CSS에서 padding과 margin의 차이점에 대해 설명해 주세요.,FE,CSS,
,CSS 전처리기의 장점과 단점은 무엇인가요?,FE,CSS,
,페이지에서 표준 폰트가 아닌 폰트 디자인을 사용할 때 어떤 방식으로 처리하는지 설명해 주세요.,FE,CSS,
,CSS selector가 어떠한 원리로 동작하나요?,FE,CSS,
,"box model이 무엇이며, 브라우저에서 어떻게 동작하는지 설명해 주세요",FE,CSS,
,display 속성에 어떤 것들이 있는지 설명해 주세요.,FE,CSS,
,"요소를 배치하는 방법(static, relative, fixed, absolute) 간의 차이는 무엇인가요?",FE,CSS,
,CSS 애니메이션과 JS 애니메이션의 차이에 대해서 설명해 주세요.,FE,CSS,
,flex를 사용하는 이유가 무엇인가요?,FE,CSS,
javscript,"이벤트 버블링(Event Bubbling), 이벤트 캡쳐링(Event Capturing)에 대해서 설명하세요.",FE,JavaScript,
,이벤트 위임(Event Delegation)에 대해 설명해 주세요.,FE,JavaScript,
,this는 JavaScript에서 어떻게 작동하는지 설명해주세요.,FE,JavaScript,
,JavaScript에서 프로토타입 기반 상속(Prototype-based Inheritance)을 사용하는 방법에 대해 설명해 주세요.,FE,JavaScript,
,null과 undefined의 차이점은 무엇인가요?,FE,JavaScript,
,익명함수(anonymous functions)는 주로 어떤 상황에서 사용하나요?,FE,JavaScript,
,AJAX(Asynchronous JavaScript and XML)에 대해 가능한 한 자세히 설명해 주세요.,FE,JavaScript,
,호이스팅(Hoisting)에 대해서 설명하세요.,FE,JavaScript,
,"use strict가 무엇인지, 그리고 사용했을 때의 장단점에 대해 설명해 주세요.",FE,JavaScript,
,"Callback과 Promise, async/await의 차이점에 대해서 설명해 주세요.",FE,JavaScript,
,"클로저(Closure)가 무엇인지, 어떻게 사용하는지, 그리고 왜 사용하는지 설명해 주세요.",FE,JavaScript,
,"let, var, const의 차이점에 관해서 설명해 주세요.",FE,JavaScript,
,모듈 패턴(Module Pattern)과 전통적 상속(Traditional Inheritance)의 장단점을 설명해 주세요.,FE,ECMAScript,
,event loop란 무엇인가요?,FE,JavaScript,
,호스트 객체(Host Objects)와 네이티브 객체(Native Objects)의 차이점은 무엇인가요?,FE,JavaScript,
,"JSON(JavaScript Object Notation)이 무엇인지, 그리고 사용했을 때의 장점이 무엇인지 설명해 주세요.",FE,JavaScript,
,전역 스코프(Global Scope)를 사용했을 때의 장단점에 대해 설명해 주세요.,FE,JavaScript,
,function foo() {}와 var foo = function() {}에서 foo 의 차이가 무엇인지 설명해보세요.,FE,JavaScript,
,JavaScript의 작동방식의 장단점에 관해 설명해주세요.,FE,JavaScript,
,함수형 프로그래밍에 대해 설명해 주세요.,FE,JavaScript,
,Callback을 왜 사용하는지 설명해 주세요.,FE,JavaScript,
,ES6에서 바뀐 문법을 생각나는 대로 이야기해 주세요.,FE,ECMAScript,
,ES6 이상의 버전을 브라우저에서 인식하지 못할 때 어떻게 해결할 수 있는지 설명해 주세요.,FE,ECMAScript,
,"JavaScript 메서드인 .call(), .apply(), .bind()의 차이에 대해 설명해 주세요.",FE,JavaScript,
,ES6에서 화살표 함수와 일반 함수의 차이에 대해 설명해 주세요.,FE,JavaScript,
자료구조,Array와 LinkedList의 차이가 무엇인가요?,"BE, FE",Data Structure,
,Stack과 Queue의 차이점은 무엇인가요?,"BE, FE",Data Structure,
,BST와 Binary Tree에 대해서 설명하세요.,"BE, FE",Data Structure,
,PriorityQueue의 동작 원리가 어떻게 되나요?,"BE, FE",Data Structure,
,해시테이블(HashTable)에 대해서 설명해주세요.,"BE, FE",Data Structure,
,최소 스패닝 트리(Minimum Spanning Tree)에 대해서 설명해주세요.,"BE, FE",Data Structure,
운영체제,컴파일러와 인터프리터의 차이가 무엇인가요?,"BE, FE",OS,
,프로세스와 스레드의 차이가 무엇인가요?,"BE, FE",OS,
,LRU(Least Recently Used)에 대해 설명해 주세요.,"BE, FE",OS,
,Thread-safe의 개념이 무엇인지 설명해 주세요.,"BE, FE",OS,
,GPU(Graphics Processing Unit)와 CPU(Central Processing Unit)의 차이에 대해 설명해 주세요.,"BE, FE",OS,
,"교착상태(Deadlock)가 무엇인지, 그리고 발생하는 조건에 대해 설명해 주세요.","BE, FE",OS,
,문맥 전환(Context Switching)이 무엇인가요?,"BE, FE",OS,
,페이지 폴트(Page Fault)가 무엇인지 설명해 주세요.,"BE, FE",OS,
,메모리가 어떻게 구성되어 있는지 설명해 주세요.,"BE, FE",OS,
,가상 메모리(Virtual Memory)에 대해 설명해 주세요.,"BE, FE",OS,
,브라우저 렌더링 과정에 대해 상세하게 설명해 주세요.,"BE, FE",OS,
,HTTP와 HTTPS 통신 방식의 차이에 대해 설명해 주실 수 있나요?,"BE, FE",http,
,"OOP(Object-Oriented Programming)의 특징(상속, 캡슐화 등)에 대해 설명해 주실 수 있나요?","BE, FE",OOP,
,함수형 프로그래밍에 대해 설명해 주실 수 있나요?,"BE, FE",Basic,
,함수형 프로그래밍의 개념에서 순수 함수란 무엇인가요?,"BE, FE",Basic,
,OOP와 함수형 프로그래밍의 가장 큰 차이점은 무엇인가요?,"BE, FE",Basic,
웹 프로토콜,웹 프로토콜이란?,"BE, FE",Basic,
,HTTP 통신이란 무엇인가요?,"BE, FE",http,
,HTTP 1.1과 2.0의 차이는 무엇인가요?,"BE, FE",http,
,AJAX란 무엇인가요?,"BE, FE",AJAX,
,Promise와 Callback의 차이점 및 각각의 장단점에 대해 설명해 주실 수 있나요?,FE,JavaScript,
,"Promise란 무엇이며, 그 코드가 어떻게 구성되어 있는지 설명해 주실 수 있나요?",FE,JavaScript,
,Async와 Await가 무엇인지 설명해 주실 수 있나요? 그리고 사용해본 경험이 있나요?,FE,JavaScript,
,"Async, Await와 Promise의 차이점은 무엇인가요?",FE,JavaScript,
,"자바스크립트의 Number Type은 다른 언어들과 차이점이 무엇인가, 왜 하나만 존재하나.",FE,JavaScript,
,"자바스크립트의 원시 타입은 몇 가지이며, 그 종류는 무엇인가요?",FE,JavaScript,
,실행 컨텍스트(Execution Context)에 대해 설명해주세요.,FE,JavaScript,
,"클로저(Closure)란 무엇이며, 왜 이러한 패턴을 사용하는지 설명해 주실 수 있나요?",FE,JavaScript,
,자바스크립트에서 호이스팅(Hoisting)이 어떻게 이루어지는지 설명해 주실 수 있나요?,FE,JavaScript,
,가비지 컬렉터의 역할과 동작 방식에 대해 설명해 주실 수 있나요?,"BE, FE",GC,
,자바스크립트의 순환참조란? 어떤게 문제이고 해결방법은?,FE,JavaScript,
,자바스크립트의 배열이 실제 자료구조 배열이 아닌 이유는 무엇인가요?,FE,JavaScript,
,이벤트 루프와 자바스크립트의 동시성 모델에 대해 설명해 주실 수 있나요?,FE,JavaScript,
,프로토타입이란 무엇인가요?,FE,JavaScript,
,자바스크립트에서 `this`는 몇 가지로 추론될 수 있나요?,FE,JavaScript,
,일반 함수의 `this`와 화살표 함수의 `this`는 어떻게 다른가요?,FE,JavaScript,
,"`call`, `apply`, `bind` 함수에 대해 설명해 주실 수 있나요?",FE,JavaScript,
,`use strict` 모드에서의 `this`가 어떻게 동작하는지 설명해 주실 수 있나요?,FE,JavaScript,
,ES6 스펙을 완벽히 지원하지 않는 브라우저에서 ES6 코드를 실행하기 위한 해결 방법은 무엇인가요?,FE,ECMAScript,
,"Babel이란 무엇이며, Babel은 컴파일러인가요, 아니면 트랜스파일러인가요?",FE,bundler,
,ES6(ECMAScript 2015)에서 추가된 스펙에 대해 알고 있는 것을 모두 설명해 주실 수 있나요?,FE,ECMAScript,
,"`var`, `let`, `const`의 차이점을 function scope와 block scope의 개념에서 설명해 주실 수 있나요?",FE,JavaScript,
,"Class가 무엇인지 설명해 주시고, Prototype과 function을 사용한 ES5 스펙만으로 Class를 구현할 수 있는지 설명해 주실 수 있나요?",FE,ECMAScript,
,"React의 상태 관리에 대해 알고 있나요? Redux를 사용해 본 경험이 있다면, 그것에 대해 설명해 주실 수 있나요?",FE,Redux,
,Redux-saga와 Observable에 대해 들어본 적이 있나요?,FE,redux sage,
,Context API에 대해 설명해 주실 수 있나요?,FE,React,
,클래스형 컴포넌트와 함수형 컴포넌트의 차이는 무엇인가요?,FE,React,
,React의 라이프사이클 메서드에 대해 설명해 주실 수 있나요?,FE,React,
,"타입스크립트를 사용해 본 경험이 있나요? 또한, 타입스크립트에 대한 본인의 생각과 도입했을 때의 장점에 대해 설명해 주실 수 있나요?",FE,Typescript,
,Angular와 React의 차이점에 대해 설명해 주실 수 있나요?,FE,Angular,
,Angular와 React의 차이점에 대해 설명해 주실 수 있나요?,FE,React,
,라이브러리와 프레임워크의 차이에 대해 설명해 주실 수 있나요?,"BE, FE",Basic,
,"두 명의 개발자가 협업할 때, Git을 관리하는 방식에 대해 설명해 주실 수 있나요?","BE, FE",git,
,"메서드 체이닝이란 무엇이며, 그 장단점에 대해 설명해 주실 수 있나요?","BE, FE",Design Pattern,
,메모라이제이션(Memoization)이란 무엇인지 설명해 주실 수 있나요?,"BE, FE",cache,
,RESTful API가 무엇인지 알고 있는 대로 설명해 주실 수 있나요?,"BE, FE",Basic,
,"CORS(Cross-Origin Resource Sharing)가 무엇인지, 왜 정의되었는지 설명해 주실 수 있나요? 또한, 코드를 작성하면서 CORS와 관련해 겪었던 이슈가 있다면 설명해 주실 수 있나요?","BE, FE",security,CORS
,ESLint가 무엇인지 설명해 주실 수 있나요?,FE,Basic,검토필요
,Prettier가 무엇인지 설명해 주실 수 있나요?,FE,Basic,검토필요
,Webpack이란 무엇인가요?,FE,bundler,
,어떤 패키지 매니저를 사용해보셨나요?,FE,bundler,
,npm과 Yarn의 차이점은 무엇인가요?,FE,bundler,
,"배포를 해본 적이 있나요? 있다면, 배포를 어떻게 진행했는지 설명해 주실 수 있나요?","BE, FE",Basic,
,적응형(Adaptive)과 반응형(Responsive) 디자인의 차이를 알고 있나요?,FE,UI/UX,
,`package.json` 파일의 역할은 무엇인가요?,FE,Basic,
,`package.json`에서 `dependencies`와 `devDependencies`의 차이는 무엇인가요?,FE,Basic,
,프로세스와 스레드의 차이는 무엇인가요?,"BE, FE",OS,
,CSR(Client-Side Rendering)과 SSR(Server-Side Rendering)의 차이는 무엇인가요?,FE,rendering,
,이벤트 위임이란 무엇인가요?,FE,JavaScript,
,DOM을 직접 건드리는 방식과 그렇지 않은 방식의 차이는 무엇인가요?,FE,Basic,
